"","codigo","Nome","rebanho_Censo2017","Novo_Nome","rebanho_PPM2020"
"398",2932200,"Ubaitaba",10137,"Ubaitaba",4024
"399",2932309,"Ubat√£",2831,"Ubat„",2080
"400",2932408,"Uiba√≠",3649,"UibaÌ",2941
"401",2932457,"Umburanas",5275,"Umburanas",5844
"402",2932507,"Una",5.19,"Una",4240
"403",2932606,"Urandi",20566,"Urandi",21266
"404",2932705,"Uru√ßuca",2903,"UruÁuca",2449
"405",2932804,"Utinga",7748,"Utinga",17409
"406",2932903,"Valen√ßa",4386,"ValenÁa",3700
"407",2933000,"Valente",6383,"Valente",5141
"408",2933059,"V√°rzea da Ro√ßa",14107,"V·rzea da RoÁa",12830
"409",2933109,"V√°rzea do Po√ßo",5507,"V·rzea do PoÁo",7586
"410",2933158,"V√°rzea Nova",12.58,"V·rzea Nova",7057
"411",2933174,"Varzedo",8314,"Varzedo",10501
"412",2933208,"Vera Cruz",483,"Vera Cruz",148
"413",2933257,"Vereda",51103,"Vereda",62699
"414",2933307,"Vit√≥ria da Conquista",74.84,"VitÛria da Conquista",109624
"415",2933406,"Wagner",4018,"Wagner",1973
"416",2933455,"Wanderley",58928,"Wanderley",93320
"417",2933505,"Wenceslau Guimar√£es",4137,"Wenceslau Guimar„es",5630
"418",2933604,"Xique-Xique",22127,"Xique-Xique",21983
"419",2100055,"A√ßail√¢ndia",261.982,"AÁail‚ndia",340906
"420",2100105,"Afonso Cunha",730,"Afonso Cunha",1220
"421",2100154,"√Ågua Doce do Maranh√£o",1.692,"¡gua Doce do Maranh„o",1735
"422",2100204,"Alc√¢ntara",2.199,"Alc‚ntara",4136
"423",2100303,"Aldeias Altas",3.938,"Aldeias Altas",4860
"424",2100402,"Altamira do Maranh√£o",24.38,"Altamira do Maranh„o",40425
"425",2100436,"Alto Alegre do Maranh√£o",9.928,"Alto Alegre do Maranh„o",18606
"426",2100477,"Alto Alegre do Pindar√©",43.543,"Alto Alegre do PindarÈ",60193
"427",2100501,"Alto Parna√≠ba",23.164,"Alto ParnaÌba",47494
"428",2100550,"Amap√° do Maranh√£o",10.478,"Amap· do Maranh„o",10890
"429",2100600,"Amarante do Maranh√£o",188.959,"Amarante do Maranh„o",279813
"430",2100709,"Anajatuba",17.83,"Anajatuba",52987
"431",2100808,"Anapurus",1.501,"Anapurus",1670
"432",2100832,"Apicum-A√ßu",267,"Apicum-AÁu",2280
"433",2100873,"Araguan√£",30.09,"Araguan„",23399
"434",2100907,"Araioses",7.965,"Araioses",10925
"435",2100956,"Arame",71.378,"Arame",153067
"436",2101004,"Arari",27.718,"Arari",37889
"437",2101103,"Axix√°",270,"Axix·",435
